ctname,rfgrp,popuni,ctname,stname,STABREV,state_deaths
"Lamar County, GA",18.4,17893,Lamar County,Georgia,GA,6746.0
"Lamar County, MS",41.400000000000006,62317,Lamar County,Mississippi,MS,3124.0
"Lamar County, TX",59.80000000000001,49476,Lamar County,Texas,TX,17706.0
"Lamb County, TX",27.6,13118,Lamb County,Texas,TX,17706.0
"Lamoille County, VT",36.800000000000004,24701,Lamoille County,Vermont,VT,62.0
"Lampasas County, TX",27.6,21175,Lampasas County,Texas,TX,17706.0
"Lancaster County, NE",345.0000000000002,304630,Lancaster County,Nebraska,NE,636.0
"Lancaster County, PA",455.4000000000008,536671,Lancaster County,Pennsylvania,PA,8865.0
"Lancaster County, SC",69.0,93844,Lancaster County,South Carolina,SC,3620.0
"Lancaster County, VA",23.0,10758,Lancaster County,Virginia,VA,3466.0
"Lander County, NV",9.2,5575,Lander County,Nevada,NV,1625.0
"Lane County, KS",9.2,1557,Lane County,Kansas,KS,962.0
"Lane County, OR",404.8000000000005,374256,Lane County,Oregon,OR,596.0
"Langlade County, WI",32.2,19157,Langlade County,Wisconsin,WI,1675.0
"Lanier County, GA",13.799999999999999,10165,Lanier County,Georgia,GA,6746.0
"Lapeer County, MI",114.99999999999994,87064,Lapeer County,Michigan,MI,6581.0
"Laramie County, WY",101.19999999999996,98435,Laramie County,Wyoming,WY,59.0
"Larimer County, CO",340.4000000000002,343444,Larimer County,Colorado,CO,2094.0
"Larue County, KY",23.0,14121,Larue County,Kentucky,KY,1492.0
"Las Animas County, CO",32.2,13816,Las Animas County,Colorado,CO,2094.0
"Lassen County, CA",46.00000000000001,23371,Lassen County,California,CA,16663.0
"Latah County, ID",36.800000000000004,37379,Latah County,Idaho,ID,571.0
"Latimer County, OK",18.4,9971,Latimer County,Oklahoma,OK,1418.0
"Lauderdale County, AL",105.79999999999995,90921,Lauderdale County,Alabama,AL,3770.0
"Lauderdale County, MS",91.99999999999997,73473,Lauderdale County,Mississippi,MS,3124.0
"Lauderdale County, TN",46.00000000000001,23948,Lauderdale County,Tennessee,TN,2959.0
"Laurel County, KY",64.4,60327,Laurel County,Kentucky,KY,1492.0
"Laurens County, GA",64.4,46927,Laurens County,Georgia,GA,6746.0
"Laurens County, SC",82.79999999999998,65663,Laurens County,South Carolina,SC,3620.0
"Lavaca County, TX",32.2,20072,Lavaca County,Texas,TX,17706.0
"Lawrence County, AL",46.00000000000001,32849,Lawrence County,Alabama,AL,3770.0
"Lawrence County, AR",32.2,16063,Lawrence County,Arkansas,AR,1622.0
"Lawrence County, IL",27.6,13528,Lawrence County,Illinois,IL,8459.0
"Lawrence County, IN",50.60000000000001,45511,Lawrence County,Indiana,IN,4116.0
"Lawrence County, KY",27.6,15571,Lawrence County,Kentucky,KY,1492.0
"Lawrence County, MO",36.800000000000004,38295,Lawrence County,Missouri,MO,2814.0
"Lawrence County, MS",18.4,12455,Lawrence County,Mississippi,MS,3124.0
"Lawrence County, OH",78.19999999999999,59714,Lawrence County,Ohio,OH,4890.0
"Lawrence County, PA",133.39999999999992,85054,Lawrence County,Pennsylvania,PA,8865.0
"Lawrence County, SD",27.6,25022,Lawrence County,South Dakota,SD,376.0
"Lawrence County, TN",55.20000000000001,43612,Lawrence County,Tennessee,TN,2959.0
"Le Flore County, OK",59.80000000000001,48845,Le Flore County,Oklahoma,OK,1418.0
"Le Sueur County, MN",32.2,28494,Le Sueur County,Minnesota,MN,2289.0
"Lea County, NM",87.39999999999998,67858,Lea County,New Mexico,NM,854.0
"Leake County, MS",27.6,21224,Leake County,Mississippi,MS,3124.0
"Leavenworth County, KS",78.19999999999999,76028,Leavenworth County,Kansas,KS,962.0
"Lebanon County, PA",147.1999999999999,139430,Lebanon County,Pennsylvania,PA,8865.0
"Lee County, AL",128.79999999999993,159470,Lee County,Alabama,AL,3770.0
"Lee County, AR",23.0,7298,Lee County,Arkansas,AR,1622.0
"Lee County, FL",772.8000000000023,749938,Lee County,Florida,FL,16059.0
"Lee County, GA",27.6,28957,Lee County,Georgia,GA,6746.0
"Lee County, IA",55.20000000000001,33150,Lee County,Iowa,IA,1638.0
"Lee County, IL",46.00000000000001,31689,Lee County,Illinois,IL,8459.0
"Lee County, KY",18.4,6327,Lee County,Kentucky,KY,1492.0
"Lee County, MS",91.99999999999997,84905,Lee County,Mississippi,MS,3124.0
"Lee County, NC",64.4,61057,Lee County,North Carolina,NC,2731.0
"Lee County, SC",36.800000000000004,15609,Lee County,South Carolina,SC,3620.0
"Lee County, TX",23.0,16798,Lee County,Texas,TX,17706.0
"Lee County, VA",32.2,22301,Lee County,Virginia,VA,3466.0
"Leelanau County, MI",36.800000000000004,21735,Leelanau County,Michigan,MI,6581.0
"Leflore County, MS",41.400000000000006,27921,Leflore County,Mississippi,MS,3124.0
"Lehigh County, PA",354.2000000000003,363066,Lehigh County,Pennsylvania,PA,8865.0
"Lemhi County, ID",18.4,7949,Lemhi County,Idaho,ID,571.0
"Lenawee County, MI",110.39999999999995,94300,Lenawee County,Michigan,MI,6581.0
"Lenoir County, NC",73.6,55780,Lenoir County,North Carolina,NC,2731.0
"Leon County, FL",317.4000000000001,280015,Leon County,Florida,FL,16059.0
"Leon County, TX",18.4,17243,Leon County,Texas,TX,17706.0
"Leslie County, KY",18.4,10010,Leslie County,Kentucky,KY,1492.0
"Letcher County, KY",36.800000000000004,21840,Letcher County,Kentucky,KY,1492.0
"Levy County, FL",50.60000000000001,40649,Levy County,Florida,FL,16059.0
"Lewis County, ID",18.4,3846,Lewis County,Idaho,ID,571.0
"Lewis County, KY",23.0,13204,Lewis County,Kentucky,KY,1492.0
"Lewis County, MO",23.0,9342,Lewis County,Missouri,MO,2814.0
"Lewis County, NY",36.800000000000004,26418,Lewis County,New York,NY,11847.0
"Lewis County, TN",13.799999999999999,12026,Lewis County,Tennessee,TN,2959.0
"Lewis County, WA",96.59999999999997,79244,Lewis County,Washington,WA,2056.0
"Lewis County, WV",27.6,16019,Lewis County,West Virginia,WV,352.0
"Lewis and Clark County, MT",69.0,67673,Lewis and Clark County,Montana,MT,252.0
"Lexington County, SC",345.0000000000002,294116,Lexington County,South Carolina,SC,3620.0
"Lexington city, VA",9.2,5844,Lexington city,Virginia,VA,3466.0
"Liberty County, FL",13.799999999999999,6430,Liberty County,Florida,FL,16059.0
"Liberty County, GA",73.6,61307,Liberty County,Georgia,GA,6746.0
"Liberty County, MT",9.2,2430,Liberty County,Montana,MT,252.0
"Liberty County, TX",69.0,81545,Liberty County,Texas,TX,17706.0
"Licking County, OH",151.7999999999999,173149,Licking County,Ohio,OH,4890.0
"Limestone County, AL",78.19999999999999,93771,Limestone County,Alabama,AL,3770.0
"Limestone County, TX",41.400000000000006,22225,Limestone County,Texas,TX,17706.0
"Lincoln County, AR",23.0,9785,Lincoln County,Arkansas,AR,1622.0
"Lincoln County, CO",13.799999999999999,4661,Lincoln County,Colorado,CO,2094.0
"Lincoln County, GA",13.799999999999999,7867,Lincoln County,Georgia,GA,6746.0
"Lincoln County, ID",9.2,5360,Lincoln County,Idaho,ID,571.0
"Lincoln County, KS",9.2,3022,Lincoln County,Kansas,KS,962.0
"Lincoln County, KY",32.2,24546,Lincoln County,Kentucky,KY,1492.0
"Lincoln County, ME",50.60000000000001,34187,Lincoln County,Maine,ME,168.0
"Lincoln County, MN",13.799999999999999,5670,Lincoln County,Minnesota,MN,2289.0
"Lincoln County, MO",36.800000000000004,57570,Lincoln County,Missouri,MO,2814.0
"Lincoln County, MS",32.2,34091,Lincoln County,Mississippi,MS,3124.0
"Lincoln County, MT",27.6,19725,Lincoln County,Montana,MT,252.0
"Lincoln County, NC",87.39999999999998,83546,Lincoln County,North Carolina,NC,2731.0
"Lincoln County, NE",41.400000000000006,34962,Lincoln County,Nebraska,NE,636.0
"Lincoln County, NM",27.6,19458,Lincoln County,New Mexico,NM,854.0
"Lincoln County, NV",13.799999999999999,4926,Lincoln County,Nevada,NV,1625.0
"Lincoln County, OK",36.800000000000004,34786,Lincoln County,Oklahoma,OK,1418.0
"Lincoln County, OR",87.39999999999998,49139,Lincoln County,Oregon,OR,596.0
"Lincoln County, SD",55.20000000000001,58781,Lincoln County,South Dakota,SD,376.0
"Lincoln County, TN",46.00000000000001,34017,Lincoln County,Tennessee,TN,2959.0
"Lincoln County, WA",23.0,10727,Lincoln County,Washington,WA,2056.0
"Lincoln County, WI",50.60000000000001,27368,Lincoln County,Wisconsin,WI,1675.0
"Lincoln County, WV",27.6,20599,Lincoln County,West Virginia,WV,352.0
"Lincoln County, WY",23.0,19417,Lincoln County,Wyoming,WY,59.0
"Lincoln Parish, LA",50.60000000000001,42795,Lincoln Parish,Louisiana,LA,5194.0
"Linn County, IA",211.59999999999982,222640,Linn County,Iowa,IA,1638.0
"Linn County, KS",13.799999999999999,9722,Linn County,Kansas,KS,962.0
"Linn County, MO",27.6,12037,Linn County,Missouri,MO,2814.0
"Linn County, OR",101.19999999999996,127063,Linn County,Oregon,OR,596.0
"Lipscomb County, TX",13.799999999999999,3351,Lipscomb County,Texas,TX,17706.0
"Litchfield County, CT",239.1999999999998,180875,Litchfield County,Connecticut,CT,4492.0
"Little River County, AR",23.0,12326,Little River County,Arkansas,AR,1622.0
"Live Oak County, TX",23.0,11154,Live Oak County,Texas,TX,17706.0
"Livingston County, IL",50.60000000000001,34039,Livingston County,Illinois,IL,8459.0
"Livingston County, KY",13.799999999999999,9242,Livingston County,Kentucky,KY,1492.0
"Livingston County, MI",285.19999999999993,190672,Livingston County,Michigan,MI,6581.0
"Livingston County, MO",27.6,13482,Livingston County,Missouri,MO,2814.0
"Livingston County, NY",73.6,58009,Livingston County,New York,NY,11847.0
"Livingston Parish, LA",82.79999999999998,139036,Livingston Parish,Louisiana,LA,5194.0
"Llano County, TX",32.2,21646,Llano County,Texas,TX,17706.0
"Logan County, AR",32.2,21537,Logan County,Arkansas,AR,1622.0
"Logan County, CO",32.2,18639,Logan County,Colorado,CO,2094.0
"Logan County, IL",41.400000000000006,25267,Logan County,Illinois,IL,8459.0
"Logan County, KS",9.2,2844,Logan County,Kansas,KS,962.0
"Logan County, KY",32.2,26893,Logan County,Kentucky,KY,1492.0
"Logan County, ND",9.2,1903,Logan County,North Dakota,ND,375.0
"Logan County, NE",9.2,749,Logan County,Nebraska,NE,636.0
"Logan County, OH",55.20000000000001,45307,Logan County,Ohio,OH,4890.0
"Logan County, OK",41.400000000000006,45973,Logan County,Oklahoma,OK,1418.0
"Logan County, WV",46.00000000000001,32122,Logan County,West Virginia,WV,352.0
"Long County, GA",18.4,18770,Long County,Georgia,GA,6746.0
"Lonoke County, AR",78.19999999999999,73593,Lonoke County,Arkansas,AR,1622.0
"Lorain County, OH",345.0000000000002,303464,Lorain County,Ohio,OH,4890.0
"Los Alamos County, NM",23.0,19071,Los Alamos County,New Mexico,NM,854.0
"Los Angeles County, CA",10796.200000000472,10016511,Los Angeles County,California,CA,16663.0
"Loudon County, TN",50.60000000000001,52979,Loudon County,Tennessee,TN,2959.0
"Loudoun County, VA",303.6,405791,Loudoun County,Virginia,VA,3466.0
"Louisa County, IA",18.4,11166,Louisa County,Iowa,IA,1638.0
"Louisa County, VA",32.2,36771,Louisa County,Virginia,VA,3466.0
"Loup County, NE",9.2,618,Loup County,Nebraska,NE,636.0
"Love County, OK",18.4,10122,Love County,Oklahoma,OK,1418.0
"Loving County, TX",9.2,152,Loving County,Texas,TX,17706.0
"Lowndes County, AL",23.0,9940,Lowndes County,Alabama,AL,3770.0
"Lowndes County, GA",119.59999999999994,111871,Lowndes County,Georgia,GA,6746.0
"Lowndes County, MS",69.0,58025,Lowndes County,Mississippi,MS,3124.0
"Lubbock County, TX",317.4000000000001,298120,Lubbock County,Texas,TX,17706.0
"Lucas County, IA",23.0,8645,Lucas County,Iowa,IA,1638.0
"Lucas County, OH",593.4000000000015,425339,Lucas County,Ohio,OH,4890.0
"Luce County, MI",23.0,5215,Luce County,Michigan,MI,6581.0
"Lumpkin County, GA",23.0,30330,Lumpkin County,Georgia,GA,6746.0
"Luna County, NM",32.2,23500,Luna County,New Mexico,NM,854.0
"Lunenburg County, VA",18.4,11114,Lunenburg County,Virginia,VA,3466.0
"Luzerne County, PA",483.0000000000009,310257,Luzerne County,Pennsylvania,PA,8865.0
"Lycoming County, PA",137.99999999999991,109772,Lycoming County,Pennsylvania,PA,8865.0
"Lyman County, SD",13.799999999999999,3783,Lyman County,South Dakota,SD,376.0
"Lynchburg city, VA",91.99999999999997,72213,Lynchburg city,Virginia,VA,3466.0
"Lynn County, TX",18.4,5835,Lynn County,Texas,TX,17706.0
"Lyon County, IA",18.4,11794,Lyon County,Iowa,IA,1638.0
"Lyon County, KS",41.400000000000006,32344,Lyon County,Kansas,KS,962.0
"Lyon County, KY",18.4,7128,Lyon County,Kentucky,KY,1492.0
"Lyon County, MN",36.800000000000004,25096,Lyon County,Minnesota,MN,2289.0
"Lyon County, NV",50.60000000000001,55546,Lyon County,Nevada,NV,1625.0
"Mackinac County, MI",32.2,10766,Mackinac County,Michigan,MI,6581.0
"Macomb County, MI",1002.8000000000035,872144,Macomb County,Michigan,MI,6581.0
"Macon County, AL",59.80000000000001,16852,Macon County,Alabama,AL,3770.0
"Macon County, GA",23.0,11401,Macon County,Georgia,GA,6746.0
"Macon County, IL",160.9999999999999,102555,Macon County,Illinois,IL,8459.0
"Macon County, MO",27.6,15153,Macon County,Missouri,MO,2814.0
"Macon County, NC",46.00000000000001,35273,Macon County,North Carolina,NC,2731.0
"Macon County, TN",23.0,24163,Macon County,Tennessee,TN,2959.0
"Macoupin County, IL",64.4,44956,Macoupin County,Illinois,IL,8459.0
"Madera County, CA",110.39999999999995,150602,Madera County,California,CA,16663.0
"Madison County, AL",340.4000000000002,360887,Madison County,Alabama,AL,3770.0
"Madison County, AR",23.0,16481,Madison County,Arkansas,AR,1622.0
"Madison County, FL",27.6,16719,Madison County,Florida,FL,16059.0
"Madison County, GA",32.2,29558,Madison County,Georgia,GA,6746.0
"Madison County, IA",18.4,16241,Madison County,Iowa,IA,1638.0
"Madison County, ID",32.2,38730,Madison County,Idaho,ID,571.0
"Madison County, IL",285.19999999999993,263102,Madison County,Illinois,IL,8459.0
"Madison County, IN",174.79999999999987,124555,Madison County,Indiana,IN,4116.0
"Madison County, KY",91.99999999999997,86218,Madison County,Kentucky,KY,1492.0
"Madison County, MO",18.4,12130,Madison County,Missouri,MO,2814.0
"Madison County, MS",101.19999999999996,104644,Madison County,Mississippi,MS,3124.0
"Madison County, MT",18.4,8768,Madison County,Montana,MT,252.0
"Madison County, NC",32.2,20922,Madison County,North Carolina,NC,2731.0
"Madison County, NE",46.00000000000001,34742,Madison County,Nebraska,NE,636.0
"Madison County, NY",78.19999999999999,66730,Madison County,New York,NY,11847.0
"Madison County, OH",59.80000000000001,39893,Madison County,Ohio,OH,4890.0
"Madison County, TN",128.79999999999993,94668,Madison County,Tennessee,TN,2959.0
"Madison County, TX",23.0,12013,Madison County,Texas,TX,17706.0
"Madison County, VA",13.799999999999999,13292,Madison County,Virginia,VA,3466.0
"Madison Parish, LA",27.6,9732,Madison Parish,Louisiana,LA,5194.0
"Magoffin County, KY",23.0,12362,Magoffin County,Kentucky,KY,1492.0
"Mahaska County, IA",36.800000000000004,21611,Mahaska County,Iowa,IA,1638.0
"Mahnomen County, MN",13.799999999999999,5519,Mahnomen County,Minnesota,MN,2289.0
"Mahoning County, OH",326.60000000000014,223860,Mahoning County,Ohio,OH,4890.0
"Major County, OK",18.4,7635,Major County,Oklahoma,OK,1418.0
"Malheur County, OR",41.400000000000006,27635,Malheur County,Oregon,OR,596.0
"Manassas Park city, VA",13.799999999999999,17307,Manassas Park city,Virginia,VA,3466.0
"Manassas city, VA",36.800000000000004,41641,Manassas city,Virginia,VA,3466.0
"Manatee County, FL",368.00000000000034,393152,Manatee County,Florida,FL,16059.0
"Manistee County, MI",50.60000000000001,23418,Manistee County,Michigan,MI,6581.0
"Manitowoc County, WI",96.59999999999997,78931,Manitowoc County,Wisconsin,WI,1675.0
"Marathon County, WI",128.79999999999993,135072,Marathon County,Wisconsin,WI,1675.0
"Marengo County, AL",32.2,18997,Marengo County,Alabama,AL,3770.0
"Maricopa County, AZ",4218.1999999999525,4368571,Maricopa County,Arizona,AZ,5227.0
"Maries County, MO",18.4,8769,Maries County,Missouri,MO,2814.0
"Marin County, CA",262.1999999999998,254404,Marin County,California,CA,16663.0
"Marinette County, WI",64.4,40303,Marinette County,Wisconsin,WI,1675.0
"Marion County, AL",41.400000000000006,29324,Marion County,Alabama,AL,3770.0
"Marion County, AR",23.0,16706,Marion County,Arkansas,AR,1622.0
"Marion County, FL",294.4,352677,Marion County,Florida,FL,16059.0
"Marion County, GA",13.799999999999999,8325,Marion County,Georgia,GA,6746.0
"Marion County, IA",41.400000000000006,32292,Marion County,Iowa,IA,1638.0
"Marion County, IL",59.80000000000001,37471,Marion County,Illinois,IL,8459.0
"Marion County, IN",1035.0000000000034,945387,Marion County,Indiana,IN,4116.0
"Marion County, KS",23.0,11545,Marion County,Kansas,KS,962.0
"Marion County, KY",32.2,19154,Marion County,Kentucky,KY,1492.0
"Marion County, MO",41.400000000000006,28007,Marion County,Missouri,MO,2814.0
"Marion County, MS",32.2,24280,Marion County,Mississippi,MS,3124.0
"Marion County, OH",87.39999999999998,59902,Marion County,Ohio,OH,4890.0
"Marion County, OR",271.39999999999986,340352,Marion County,Oregon,OR,596.0
"Marion County, SC",41.400000000000006,31039,Marion County,South Carolina,SC,3620.0
"Marion County, TN",32.2,28508,Marion County,Tennessee,TN,2959.0
"Marion County, TX",23.0,9863,Marion County,Texas,TX,17706.0
"Marion County, WV",87.39999999999998,55259,Marion County,West Virginia,WV,352.0
"Mariposa County, CA",32.2,17331,Mariposa County,California,CA,16663.0
"Marlboro County, SC",36.800000000000004,23873,Marlboro County,South Carolina,SC,3620.0
"Marquette County, MI",119.59999999999994,63309,Marquette County,Michigan,MI,6581.0
"Marquette County, WI",27.6,15395,Marquette County,Wisconsin,WI,1675.0
"Marshall County, AL",87.39999999999998,95691,Marshall County,Alabama,AL,3770.0
"Marshall County, IA",50.60000000000001,39638,Marshall County,Iowa,IA,1638.0
"Marshall County, IL",27.6,11527,Marshall County,Illinois,IL,8459.0
"Marshall County, IN",59.80000000000001,46114,Marshall County,Indiana,IN,4116.0
"Marshall County, KS",23.0,9704,Marshall County,Kansas,KS,962.0
"Marshall County, KY",32.2,31030,Marshall County,Kentucky,KY,1492.0
"Marshall County, MN",23.0,9384,Marshall County,Minnesota,MN,2289.0
"Marshall County, MS",32.2,33805,Marshall County,Mississippi,MS,3124.0
"Marshall County, OK",23.0,16758,Marshall County,Oklahoma,OK,1418.0
"Marshall County, SD",9.2,5109,Marshall County,South Dakota,SD,376.0
"Marshall County, TN",32.2,33562,Marshall County,Tennessee,TN,2959.0
"Marshall County, WV",46.00000000000001,30429,Marshall County,West Virginia,WV,352.0
"Martin County, FL",170.19999999999987,158283,Martin County,Florida,FL,16059.0
"Martin County, IN",18.4,10176,Martin County,Indiana,IN,4116.0
"Martin County, KY",18.4,10017,Martin County,Kentucky,KY,1492.0
"Martin County, MN",32.2,19764,Martin County,Minnesota,MN,2289.0
"Martin County, NC",32.2,22661,Martin County,North Carolina,NC,2731.0
"Martin County, TX",13.799999999999999,5746,Martin County,Texas,TX,17706.0
"Martinsville city, VA",27.6,12762,Martinsville city,Virginia,VA,3466.0
"Mason County, IL",32.2,13525,Mason County,Illinois,IL,8459.0
"Mason County, KY",27.6,16986,Mason County,Kentucky,KY,1492.0
"Mason County, MI",46.00000000000001,29041,Mason County,Michigan,MI,6581.0
"Mason County, TX",13.799999999999999,4277,Mason County,Texas,TX,17706.0
"Mason County, WA",69.0,63046,Mason County,Washington,WA,2056.0
"Mason County, WV",32.2,26221,Mason County,West Virginia,WV,352.0
"Massac County, IL",23.0,14080,Massac County,Illinois,IL,8459.0
"Matagorda County, TX",55.20000000000001,36423,Matagorda County,Texas,TX,17706.0
"Matanuska-Susitna Borough, AK",114.99999999999994,106100,Matanuska-Susitna Borough,Alaska,AK,55.0
"Mathews County, VA",18.4,8802,Mathews County,Virginia,VA,3466.0
"Maui County, HI",179.39999999999986,166382,Maui County,Hawaii,HI,241.0
"Maury County, TN",82.79999999999998,94036,Maury County,Tennessee,TN,2959.0
"Maverick County, TX",46.00000000000001,57590,Maverick County,Texas,TX,17706.0
"Mayes County, OK",46.00000000000001,40869,Mayes County,Oklahoma,OK,1418.0
"Mc Kean County, PA",59.80000000000001,38683,Mc Kean County,Pennsylvania,PA,8865.0
"McClain County, OK",32.2,39955,McClain County,Oklahoma,OK,1418.0
"McCone County, MT",9.2,1675,McCone County,Montana,MT,252.0
"McCook County, SD",13.799999999999999,5546,McCook County,South Dakota,SD,376.0
"McCormick County, SC",18.4,8447,McCormick County,South Carolina,SC,3620.0
"McCracken County, KY",82.79999999999998,64860,McCracken County,Kentucky,KY,1492.0
"McCreary County, KY",23.0,15845,McCreary County,Kentucky,KY,1492.0
"McCulloch County, TX",18.4,7968,McCulloch County,Texas,TX,17706.0
"McCurtain County, OK",41.400000000000006,32488,McCurtain County,Oklahoma,OK,1418.0
"McDonald County, MO",23.0,23036,McDonald County,Missouri,MO,2814.0
"McDonough County, IL",50.60000000000001,26982,McDonough County,Illinois,IL,8459.0
"McDowell County, NC",50.60000000000001,44749,McDowell County,North Carolina,NC,2731.0
"McDowell County, WV",41.400000000000006,18223,McDowell County,West Virginia,WV,352.0
"McDuffie County, GA",27.6,21281,McDuffie County,Georgia,GA,6746.0
"McHenry County, IL",243.79999999999978,308030,McHenry County,Illinois,IL,8459.0
"McHenry County, ND",13.799999999999999,5816,McHenry County,North Dakota,ND,375.0
"McIntosh County, GA",27.6,14268,McIntosh County,Georgia,GA,6746.0
"McIntosh County, ND",9.2,2585,McIntosh County,North Dakota,ND,375.0
"McIntosh County, OK",32.2,19735,McIntosh County,Oklahoma,OK,1418.0
"McKenzie County, ND",23.0,13625,McKenzie County,North Dakota,ND,375.0
"McKinley County, NM",82.79999999999998,71943,McKinley County,New Mexico,NM,854.0
"McLean County, IL",193.19999999999985,163439,McLean County,Illinois,IL,8459.0
"McLean County, KY",18.4,9252,McLean County,Kentucky,KY,1492.0
"McLean County, ND",13.799999999999999,9532,McLean County,North Dakota,ND,375.0
"McLennan County, TX",239.1999999999998,248695,McLennan County,Texas,TX,17706.0
"McLeod County, MN",36.800000000000004,35822,McLeod County,Minnesota,MN,2289.0
"McMinn County, TN",50.60000000000001,52775,McMinn County,Tennessee,TN,2959.0
"McMullen County, TX",9.2,749,McMullen County,Texas,TX,17706.0
"McNairy County, TN",36.800000000000004,25768,McNairy County,Tennessee,TN,2959.0
"McPherson County, KS",36.800000000000004,28175,McPherson County,Kansas,KS,962.0
"McPherson County, NE",9.2,492,McPherson County,Nebraska,NE,636.0
"McPherson County, SD",9.2,2407,McPherson County,South Dakota,SD,376.0
"Meade County, KS",13.799999999999999,4097,Meade County,Kansas,KS,962.0
"Meade County, KY",41.400000000000006,28568,Meade County,Kentucky,KY,1492.0
"Meade County, SD",27.6,28242,Meade County,South Dakota,SD,376.0
"Meagher County, MT",9.2,1866,Meagher County,Montana,MT,252.0
"Mecklenburg County, NC",1076.4000000000026,1083098,Mecklenburg County,North Carolina,NC,2731.0
"Mecklenburg County, VA",46.00000000000001,30155,Mecklenburg County,Virginia,VA,3466.0
"Mecosta County, MI",55.20000000000001,40444,Mecosta County,Michigan,MI,6581.0
"Medina County, OH",174.79999999999987,178987,Medina County,Ohio,OH,4890.0
"Medina County, TX",41.400000000000006,48953,Medina County,Texas,TX,17706.0
"Meeker County, MN",32.2,23093,Meeker County,Minnesota,MN,2289.0
"Meigs County, OH",32.2,23096,Meigs County,Ohio,OH,4890.0
"Meigs County, TN",18.4,12243,Meigs County,Tennessee,TN,2959.0
"Mellette County, SD",9.2,2042,Mellette County,South Dakota,SD,376.0
"Menard County, IL",18.4,12273,Menard County,Illinois,IL,8459.0
"Menard County, TX",9.2,2134,Menard County,Texas,TX,17706.0
"Mendocino County, CA",101.19999999999996,86977,Mendocino County,California,CA,16663.0
"Menifee County, KY",13.799999999999999,6445,Menifee County,Kentucky,KY,1492.0
"Menominee County, MI",41.400000000000006,22958,Menominee County,Michigan,MI,6581.0
"Menominee County, WI",13.799999999999999,4617,Menominee County,Wisconsin,WI,1675.0
"Merced County, CA",229.9999999999998,269730,Merced County,California,CA,16663.0
"Mercer County, IL",23.0,15561,Mercer County,Illinois,IL,8459.0
"Mercer County, KY",27.6,21774,Mercer County,Kentucky,KY,1492.0
"Mercer County, MO",13.799999999999999,3641,Mercer County,Missouri,MO,2814.0
"Mercer County, ND",18.4,8261,Mercer County,North Dakota,ND,375.0
"Mercer County, NJ",358.8000000000003,353683,Mercer County,New Jersey,NJ,14511.0
"Mercer County, OH",46.00000000000001,40933,Mercer County,Ohio,OH,4890.0
"Mercer County, PA",142.5999999999999,105789,Mercer County,Pennsylvania,PA,8865.0
"Mercer County, WV",78.19999999999999,58517,Mercer County,West Virginia,WV,352.0
"Meriwether County, GA",23.0,20940,Meriwether County,Georgia,GA,6746.0
"Merrick County, NE",18.4,7690,Merrick County,Nebraska,NE,636.0
"Merrimack County, NH",170.19999999999987,146406,Merrimack County,New Hampshire,NH,452.0
"Mesa County, CO",137.99999999999991,150100,Mesa County,Colorado,CO,2094.0
"Metcalfe County, KY",18.4,10030,Metcalfe County,Kentucky,KY,1492.0
"Miami County, IN",50.60000000000001,32460,Miami County,Indiana,IN,4116.0
"Miami County, KS",41.400000000000006,33622,Miami County,Kansas,KS,962.0
"Miami County, OH",101.19999999999996,106079,Miami County,Ohio,OH,4890.0
"Miami-Dade County, FL",2391.999999999977,2736252,Miami-Dade County,Florida,FL,16059.0
"Middlesex County, CT",174.79999999999987,160164,Middlesex County,Connecticut,CT,4492.0
"Middlesex County, MA",1467.3999999999949,1570793,Middlesex County,Massachusetts,MA,8189.0
"Middlesex County, NJ",809.6000000000025,812046,Middlesex County,New Jersey,NJ,14511.0
"Middlesex County, VA",27.6,10550,Middlesex County,Virginia,VA,3466.0
"Midland County, MI",91.99999999999997,82499,Midland County,Michigan,MI,6581.0
"Midland County, TX",128.79999999999993,172032,Midland County,Texas,TX,17706.0
"Mifflin County, PA",59.80000000000001,46167,Mifflin County,Pennsylvania,PA,8865.0
"Milam County, TX",36.800000000000004,24951,Milam County,Texas,TX,17706.0
"Millard County, UT",18.4,12905,Millard County,Utah,UT,582.0
"Mille Lacs County, MN",36.800000000000004,25955,Mille Lacs County,Minnesota,MN,2289.0
"Miller County, AR",59.80000000000001,42647,Miller County,Arkansas,AR,1622.0
"Miller County, GA",18.4,5674,Miller County,Georgia,GA,6746.0
"Miller County, MO",27.6,25274,Miller County,Missouri,MO,2814.0
"Mills County, IA",27.6,14742,Mills County,Iowa,IA,1638.0
"Mills County, TX",13.799999999999999,4863,Mills County,Texas,TX,17706.0
"Milwaukee County, WI",1375.3999999999967,934347,Milwaukee County,Wisconsin,WI,1675.0
"Miner County, SD",9.2,2213,Miner County,South Dakota,SD,376.0
"Mineral County, CO",9.2,776,Mineral County,Colorado,CO,2094.0
"Mineral County, MT",13.799999999999999,4312,Mineral County,Montana,MT,252.0
"Mineral County, NV",13.799999999999999,4485,Mineral County,Nevada,NV,1625.0
"Mineral County, WV",36.800000000000004,26445,Mineral County,West Virginia,WV,352.0
"Mingo County, WV",36.800000000000004,23785,Mingo County,West Virginia,WV,352.0
"Minidoka County, ID",27.6,20816,Minidoka County,Idaho,ID,571.0
"Minnehaha County, SD",197.79999999999984,188761,Minnehaha County,South Dakota,SD,376.0
"Missaukee County, MI",23.0,15073,Missaukee County,Michigan,MI,6581.0
