ctname,rfgrp,popuni,stname,STABREV,state_deaths,county_name
"Alpine County, CA",9.2,1101,California,CA,16663.0,Alpine County
"Amador County, CA",46.00000000000001,35221,California,CA,16663.0,Amador County
"Amelia County, VA",13.799999999999999,13013,Virginia,VA,3466.0,Amelia County
"Amherst County, VA",46.00000000000001,30768,Virginia,VA,3466.0,Amherst County
"Amite County, MS",18.4,12287,Mississippi,MS,3124.0,Amite County
"Anchorage Borough, AK",257.5999999999998,290214,Alaska,AK,55.0,Anchorage Borough
"Anderson County, KS",13.799999999999999,7859,Kansas,KS,962.0,Anderson County
"Anderson County, KY",27.6,22663,Kentucky,KY,1492.0,Anderson County
"Anderson County, SC",183.99999999999986,198842,South Carolina,SC,3620.0,Anderson County
"Anderson County, TN",87.39999999999998,76119,Tennessee,TN,2959.0,Anderson County
"Anderson County, TX",55.20000000000001,44747,Texas,TX,17706.0,Anderson County
"Andrew County, MO",23.0,17592,Missouri,MO,2814.0,Andrew County
"Andrews County, TX",23.0,18128,Texas,TX,17706.0,Andrews County
"Androscoggin County, ME",133.39999999999992,105942,Maine,ME,168.0,Androscoggin County
"Angelina County, TX",82.79999999999998,85554,Texas,TX,17706.0,Angelina County
"Anne Arundel County, MD",487.60000000000093,569665,Maryland,MD,4427.0,Anne Arundel County
"Anoka County, MN",386.40000000000043,352141,Minnesota,MN,2289.0,Anoka County
"Anson County, NC",32.2,22949,North Carolina,NC,2731.0,Anson County
"Antelope County, NE",18.4,6330,Nebraska,NE,636.0,Antelope County
"Antrim County, MI",41.400000000000006,23323,Michigan,MI,6581.0,Antrim County
"Apache County, AZ",78.19999999999999,71188,Arizona,AZ,5227.0,Apache County
"Appanoose County, IA",27.6,12410,Iowa,IA,1638.0,Appanoose County
"Appling County, GA",27.6,18213,Georgia,GA,6746.0,Appling County
"Appomattox County, VA",18.4,15841,Virginia,VA,3466.0,Appomattox County
"Aransas County, TX",32.2,23597,Texas,TX,17706.0,Aransas County
"Arapahoe County, CO",680.8000000000019,649245,Colorado,CO,2094.0,Arapahoe County
"Archer County, TX",18.4,8776,Texas,TX,17706.0,Archer County
"Archuleta County, CO",23.0,13739,Colorado,CO,2094.0,Archuleta County
"Arenac County, MI",36.800000000000004,14998,Michigan,MI,6581.0,Arenac County
"Arkansas County, AR",41.400000000000006,17667,Arkansas,AR,1622.0,Arkansas County
"Arlington County, VA",275.9999999999999,236350,Virginia,VA,3466.0,Arlington County
"Armstrong County, PA",91.99999999999997,65087,Pennsylvania,PA,8865.0,Armstrong County
"Armstrong County, TX",9.2,1892,Texas,TX,17706.0,Armstrong County
"Aroostook County, ME",114.99999999999994,66438,Maine,ME,168.0,Aroostook County
"Arthur County, NE",9.2,465,Nebraska,NE,636.0,Arthur County
"Ascension Parish, LA",69.0,124187,Louisiana,LA,5194.0,Ascension Parish
"Ashe County, NC",32.2,27068,North Carolina,NC,2731.0,Ashe County
"Ashland County, OH",55.20000000000001,51997,Ohio,OH,4890.0,Ashland County
"Ashland County, WI",41.400000000000006,15161,Wisconsin,WI,1675.0,Ashland County
"Ashley County, AR",36.800000000000004,19944,Arkansas,AR,1622.0,Ashley County
"Ashtabula County, OH",124.19999999999993,95698,Ohio,OH,4890.0,Ashtabula County
"Asotin County, WA",32.2,22563,Washington,WA,2056.0,Asotin County
"Assumption Parish, LA",32.2,22225,Louisiana,LA,5194.0,Assumption Parish
"Atascosa County, TX",41.400000000000006,50310,Texas,TX,17706.0,Atascosa County
"Atchison County, KS",23.0,15137,Kansas,KS,962.0,Atchison County
"Atchison County, MO",13.799999999999999,5163,Missouri,MO,2814.0,Atchison County
"Athens County, OH",73.6,56737,Ohio,OH,4890.0,Athens County
"Atkinson County, GA",18.4,8286,Georgia,GA,6746.0,Atkinson County
"Atlantic County, NJ",326.60000000000014,262057,New Jersey,NJ,14511.0,Atlantic County
"Atoka County, OK",23.0,13135,Oklahoma,OK,1418.0,Atoka County
"Attala County, MS",32.2,18340,Mississippi,MS,3124.0,Attala County
"Audrain County, MO",36.800000000000004,23699,Missouri,MO,2814.0,Audrain County
"Audubon County, IA",18.4,5503,Iowa,IA,1638.0,Audubon County
"Auglaize County, OH",55.20000000000001,45750,Ohio,OH,4890.0,Auglaize County
"Augusta County, VA",64.4,73113,Virginia,VA,3466.0,Augusta County
"Aurora County, SD",9.2,2740,South Dakota,SD,376.0,Aurora County
"Austin County, TX",32.2,29937,Texas,TX,17706.0,Austin County
"Autauga County, AL",59.80000000000001,55420,Alabama,AL,3770.0,Autauga County
"Avery County, NC",27.6,15235,North Carolina,NC,2731.0,Avery County
"Avoyelles Parish, LA",46.00000000000001,37774,Louisiana,LA,5194.0,Avoyelles Parish
"Baca County, CO",13.799999999999999,3576,Colorado,CO,2094.0,Baca County
"Bacon County, GA",18.4,10947,Georgia,GA,6746.0,Bacon County
"Bailey County, TX",9.2,6971,Texas,TX,17706.0,Bailey County
"Baker County, FL",23.0,26304,Florida,FL,16059.0,Baker County
"Baker County, GA",13.799999999999999,3092,Georgia,GA,6746.0,Baker County
"Baker County, OR",32.2,15679,Oregon,OR,596.0,Baker County
"Baldwin County, AL",151.7999999999999,216666,Alabama,AL,3770.0,Baldwin County
"Baldwin County, GA",46.00000000000001,39759,Georgia,GA,6746.0,Baldwin County
"Ballard County, KY",18.4,7914,Kentucky,KY,1492.0,Ballard County
"Baltimore County, MD",989.0000000000034,814538,Maryland,MD,4427.0,Baltimore County
"Baltimore city, MD",924.6000000000031,584876,Maryland,MD,4427.0,Baltimore city
"Bamberg County, SC",23.0,13645,South Carolina,SC,3620.0,Bamberg County
"Bandera County, TX",27.6,22634,Texas,TX,17706.0,Bandera County
"Banks County, GA",23.0,18988,Georgia,GA,6746.0,Banks County
"Banner County, NE",9.2,730,Nebraska,NE,636.0,Banner County
"Bannock County, ID",105.79999999999995,85629,Idaho,ID,571.0,Bannock County
"Baraga County, MI",18.4,7447,Michigan,MI,6581.0,Baraga County
"Barber County, KS",13.799999999999999,4472,Kansas,KS,962.0,Barber County
"Barbour County, AL",46.00000000000001,22210,Alabama,AL,3770.0,Barbour County
"Barbour County, WV",23.0,15761,West Virginia,WV,352.0,Barbour County
"Barnes County, ND",23.0,10234,North Dakota,ND,375.0,Barnes County
"Barnstable County, MA",266.79999999999984,211541,Massachusetts,MA,8189.0,Barnstable County
"Barnwell County, SC",32.2,21034,South Carolina,SC,3620.0,Barnwell County
"Barren County, KY",50.60000000000001,44007,Kentucky,KY,1492.0,Barren County
"Barron County, WI",50.60000000000001,45036,Wisconsin,WI,1675.0,Barron County
"Barrow County, GA",87.39999999999998,80750,Georgia,GA,6746.0,Barrow County
"Barry County, MI",55.20000000000001,61078,Michigan,MI,6581.0,Barry County
"Barry County, MO",36.800000000000004,35831,Missouri,MO,2814.0,Barry County
"Bartholomew County, IN",73.6,82494,Indiana,IN,4116.0,Bartholomew County
"Barton County, KS",41.400000000000006,25784,Kansas,KS,962.0,Barton County
"Barton County, MO",18.4,11792,Missouri,MO,2814.0,Barton County
"Bartow County, GA",73.6,105802,Georgia,GA,6746.0,Bartow County
"Bastrop County, TX",50.60000000000001,85167,Texas,TX,17706.0,Bastrop County
"Bates County, MO",23.0,16213,Missouri,MO,2814.0,Bates County
"Bath County, KY",18.4,12383,Kentucky,KY,1492.0,Bath County
"Bath County, VA",9.2,4292,Virginia,VA,3466.0,Bath County
"Baxter County, AR",46.00000000000001,41564,Arkansas,AR,1622.0,Baxter County
"Bay County, FL",206.99999999999983,183399,Florida,FL,16059.0,Bay County
"Bay County, MI",128.79999999999993,103730,Michigan,MI,6581.0,Bay County
"Bayfield County, WI",32.2,14988,Wisconsin,WI,1675.0,Bayfield County
"Baylor County, TX",9.2,3582,Texas,TX,17706.0,Baylor County
"Beadle County, SD",32.2,18799,South Dakota,SD,376.0,Beadle County
"Bear Lake County, ID",13.799999999999999,6050,Idaho,ID,571.0,Bear Lake County
"Beaufort County, NC",55.20000000000001,46988,North Carolina,NC,2731.0,Beaufort County
"Beaufort County, SC",193.19999999999985,188033,South Carolina,SC,3620.0,Beaufort County
"Beauregard Parish, LA",36.800000000000004,36170,Louisiana,LA,5194.0,Beauregard Parish
"Beaver County, OK",18.4,5307,Oklahoma,OK,1418.0,Beaver County
"Beaver County, PA",239.1999999999998,163541,Pennsylvania,PA,8865.0,Beaver County
"Beaver County, UT",13.799999999999999,6580,Utah,UT,582.0,Beaver County
"Beaverhead County, MT",18.4,9025,Montana,MT,252.0,Beaverhead County
"Becker County, MN",50.60000000000001,34298,Minnesota,MN,2289.0,Becker County
"Beckham County, OK",23.0,19946,Oklahoma,OK,1418.0,Beckham County
"Bedford County, PA",55.20000000000001,47995,Pennsylvania,PA,8865.0,Bedford County
"Bedford County, TN",46.00000000000001,48863,Tennessee,TN,2959.0,Bedford County
"Bedford County, VA",82.79999999999998,78664,Virginia,VA,3466.0,Bedford County
"Bee County, TX",36.800000000000004,24903,Texas,TX,17706.0,Bee County
"Belknap County, NH",73.6,60932,New Hampshire,NH,452.0,Belknap County
"Bell County, KY",46.00000000000001,25890,Kentucky,KY,1492.0,Bell County
"Bell County, TX",303.6,353329,Texas,TX,17706.0,Bell County
"Belmont County, OH",96.59999999999997,64659,Ohio,OH,4890.0,Belmont County
"Beltrami County, MN",50.60000000000001,45313,Minnesota,MN,2289.0,Beltrami County
"Ben Hill County, GA",27.6,16685,Georgia,GA,6746.0,Ben Hill County
"Benewah County, ID",13.799999999999999,9217,Idaho,ID,571.0,Benewah County
"Bennett County, SD",13.799999999999999,3468,South Dakota,SD,376.0,Bennett County
"Bennington County, VT",59.80000000000001,34824,Vermont,VT,62.0,Bennington County
"Benson County, ND",23.0,6949,North Dakota,ND,375.0,Benson County
"Bent County, CO",9.2,4042,Colorado,CO,2094.0,Bent County
"Benton County, AR",229.9999999999998,271564,Arkansas,AR,1622.0,Benton County
"Benton County, IA",36.800000000000004,25632,Iowa,IA,1638.0,Benton County
"Benton County, IN",18.4,8632,Indiana,IN,4116.0,Benton County
"Benton County, MN",46.00000000000001,40479,Minnesota,MN,2289.0,Benton County
"Benton County, MO",32.2,19256,Missouri,MO,2814.0,Benton County
"Benton County, MS",13.799999999999999,8262,Mississippi,MS,3124.0,Benton County
"Benton County, OR",87.39999999999998,87275,Oregon,OR,596.0,Benton County
"Benton County, TN",27.6,16141,Tennessee,TN,2959.0,Benton County
"Benton County, WA",174.79999999999987,201153,Washington,WA,2056.0,Benton County
"Benzie County, MI",32.2,17698,Michigan,MI,6581.0,Benzie County
"Bergen County, NJ",828.0000000000026,931875,New Jersey,NJ,14511.0,Bergen County
"Berkeley County, SC",211.59999999999982,220075,South Carolina,SC,3620.0,Berkeley County
"Berkeley County, WV",69.0,116873,West Virginia,WV,352.0,Berkeley County
"Berks County, PA",418.6000000000006,412769,Pennsylvania,PA,8865.0,Berks County
"Berkshire County, MA",183.99999999999986,122749,Massachusetts,MA,8189.0,Berkshire County
"Bernalillo County, NM",708.400000000002,672145,New Mexico,NM,854.0,Bernalillo County
"Berrien County, GA",32.2,19185,Georgia,GA,6746.0,Berrien County
"Berrien County, MI",229.9999999999998,152493,Michigan,MI,6581.0,Berrien County
"Bertie County, NC",23.0,17932,North Carolina,NC,2731.0,Bertie County
"Bethel Census Area, AK",18.4,18049,Alaska,AK,55.0,Bethel Census Area
"Bexar County, TX",1688.1999999999905,1970011,Texas,TX,17706.0,Bexar County
"Bibb County, AL",23.0,20396,Alabama,AL,3770.0,Bibb County
"Bibb County, GA",206.99999999999983,148314,Georgia,GA,6746.0,Bibb County
"Bienville Parish, LA",27.6,13264,Louisiana,LA,5194.0,Bienville Parish
"Big Horn County, MT",27.6,13297,Montana,MT,252.0,Big Horn County
"Big Horn County, WY",18.4,11829,Wyoming,WY,59.0,Big Horn County
"Big Stone County, MN",18.4,4989,Minnesota,MN,2289.0,Big Stone County
"Billings County, ND",9.2,919,North Dakota,ND,375.0,Billings County
"Bingham County, ID",41.400000000000006,46114,Idaho,ID,571.0,Bingham County
"Black Hawk County, IA",179.39999999999986,128836,Iowa,IA,1638.0,Black Hawk County
"Blackford County, IN",23.0,11838,Indiana,IN,4116.0,Blackford County
"Bladen County, NC",32.2,33129,North Carolina,NC,2731.0,Bladen County
"Blaine County, ID",23.0,22601,Idaho,ID,571.0,Blaine County
"Blaine County, MT",23.0,6797,Montana,MT,252.0,Blaine County
"Blaine County, NE",9.2,476,Nebraska,NE,636.0,Blaine County
"Blaine County, OK",27.6,9485,Oklahoma,OK,1418.0,Blaine County
"Blair County, PA",160.9999999999999,121289,Pennsylvania,PA,8865.0,Blair County
"Blanco County, TX",13.799999999999999,11700,Texas,TX,17706.0,Blanco County
"Bland County, VA",13.799999999999999,5662,Virginia,VA,3466.0,Bland County
"Bleckley County, GA",18.4,11658,Georgia,GA,6746.0,Bleckley County
"Bledsoe County, TN",18.4,12179,Tennessee,TN,2959.0,Bledsoe County
"Blount County, AL",46.00000000000001,57711,Alabama,AL,3770.0,Blount County
"Blount County, TN",133.39999999999992,130140,Tennessee,TN,2959.0,Blount County
"Blue Earth County, MN",78.19999999999999,64606,Minnesota,MN,2289.0,Blue Earth County
"Boise County, ID",9.2,7600,Idaho,ID,571.0,Boise County
"Bolivar County, MS",41.400000000000006,30010,Mississippi,MS,3124.0,Bolivar County
"Bollinger County, MO",18.4,12160,Missouri,MO,2814.0,Bollinger County
"Bon Homme County, SD",13.799999999999999,5714,South Dakota,SD,376.0,Bon Homme County
"Bond County, IL",23.0,15191,Illinois,IL,8459.0,Bond County
"Bonner County, ID",46.00000000000001,44625,Idaho,ID,571.0,Bonner County
"Bonneville County, ID",101.19999999999996,116497,Idaho,ID,571.0,Bonneville County
"Boone County, AR",36.800000000000004,37376,Arkansas,AR,1622.0,Boone County
"Boone County, IA",36.800000000000004,26110,Iowa,IA,1638.0,Boone County
"Boone County, IL",36.800000000000004,53506,Illinois,IL,8459.0,Boone County
"Boone County, IN",50.60000000000001,66822,Indiana,IN,4116.0,Boone County
"Boone County, KY",105.79999999999995,131091,Kentucky,KY,1492.0,Boone County
"Boone County, MO",137.99999999999991,172200,Missouri,MO,2814.0,Boone County
"Boone County, NE",13.799999999999999,5237,Nebraska,NE,636.0,Boone County
"Boone County, WV",41.400000000000006,21913,West Virginia,WV,352.0,Boone County
"Borden County, TX",9.2,648,Texas,TX,17706.0,Borden County
"Bosque County, TX",36.800000000000004,18660,Texas,TX,17706.0,Bosque County
"Bossier Parish, LA",105.79999999999995,126814,Louisiana,LA,5194.0,Bossier Parish
"Botetourt County, VA",41.400000000000006,33121,Virginia,VA,3466.0,Botetourt County
"Bottineau County, ND",18.4,6245,North Dakota,ND,375.0,Bottineau County
"Boulder County, CO",317.4000000000001,316334,Colorado,CO,2094.0,Boulder County
"Boundary County, ID",13.799999999999999,11928,Idaho,ID,571.0,Boundary County
"Bourbon County, KS",27.6,14435,Kansas,KS,962.0,Bourbon County
"Bourbon County, KY",32.2,20055,Kentucky,KY,1492.0,Bourbon County
"Bowie County, TX",87.39999999999998,88981,Texas,TX,17706.0,Bowie County
"Bowman County, ND",13.799999999999999,3076,North Dakota,ND,375.0,Bowman County
"Box Butte County, NE",18.4,10761,Nebraska,NE,636.0,Box Butte County
"Box Elder County, UT",55.20000000000001,54759,Utah,UT,582.0,Box Elder County
"Boyd County, KY",64.4,45607,Kentucky,KY,1492.0,Boyd County
"Boyd County, NE",9.2,1955,Nebraska,NE,636.0,Boyd County
"Boyle County, KY",36.800000000000004,27337,Kentucky,KY,1492.0,Boyle County
"Bracken County, KY",18.4,8239,Kentucky,KY,1492.0,Bracken County
"Bradford County, FL",23.0,24075,Florida,FL,16059.0,Bradford County
"Bradford County, PA",69.0,60660,Pennsylvania,PA,8865.0,Bradford County
"Bradley County, AR",27.6,10844,Arkansas,AR,1622.0,Bradley County
"Bradley County, TN",91.99999999999997,104607,Tennessee,TN,2959.0,Bradley County
"Branch County, MI",59.80000000000001,42057,Michigan,MI,6581.0,Branch County
"Brantley County, GA",18.4,18885,Georgia,GA,6746.0,Brantley County
"Braxton County, WV",18.4,13762,West Virginia,WV,352.0,Braxton County
"Brazoria County, TX",239.1999999999998,360883,Texas,TX,17706.0,Brazoria County
"Brazos County, TX",197.79999999999984,213263,Texas,TX,17706.0,Brazos County
"Breathitt County, KY",36.800000000000004,12597,Kentucky,KY,1492.0,Breathitt County
"Breckinridge County, KY",32.2,20178,Kentucky,KY,1492.0,Breckinridge County
"Bremer County, IA",41.400000000000006,23619,Iowa,IA,1638.0,Bremer County
"Brevard County, FL",529.0000000000011,593583,Florida,FL,16059.0,Brevard County
"Brewster County, TX",18.4,9231,Texas,TX,17706.0,Brewster County
"Briscoe County, TX",9.2,1516,Texas,TX,17706.0,Briscoe County
"Bristol Bay Borough, AK",9.2,877,Alaska,AK,55.0,Bristol Bay Borough
"Bristol County, MA",584.2000000000014,555075,Massachusetts,MA,8189.0,Bristol County
"Bristol County, RI",55.20000000000001,46668,Rhode Island,RI,1124.0,Bristol County
"Bristol city, VA",23.0,16330,Virginia,VA,3466.0,Bristol city
"Broadwater County, MT",13.799999999999999,6060,Montana,MT,252.0,Broadwater County
"Bronx County, NY",1563.999999999993,1415296,New York,NY,11847.0,Bronx County
"Brooke County, WV",32.2,21639,West Virginia,WV,352.0,Brooke County
"Brookings County, SD",32.2,31997,South Dakota,SD,376.0,Brookings County
"Brooks County, GA",27.6,15441,Georgia,GA,6746.0,Brooks County
"Brooks County, TX",13.799999999999999,7098,Texas,TX,17706.0,Brooks County
"Broome County, NY",257.5999999999998,184004,New York,NY,11847.0,Broome County
"Broomfield County, CO",87.39999999999998,69195,Colorado,CO,2094.0,Broomfield County
"Broward County, FL",1669.7999999999909,1943873,Florida,FL,16059.0,Broward County
"Brown County, IL",13.799999999999999,4624,Illinois,IL,8459.0,Brown County
"Brown County, IN",23.0,15229,Indiana,IN,4116.0,Brown County
"Brown County, KS",18.4,9584,Kansas,KS,962.0,Brown County
"Brown County, MN",41.400000000000006,24438,Minnesota,MN,2289.0,Brown County
"Brown County, NE",9.2,2973,Nebraska,NE,636.0,Brown County
"Brown County, OH",46.00000000000001,43534,Ohio,OH,4890.0,Brown County
"Brown County, SD",41.400000000000006,38567,South Dakota,SD,376.0,Brown County
"Brown County, TX",59.80000000000001,36937,Texas,TX,17706.0,Brown County
"Brown County, WI",252.99999999999977,258539,Wisconsin,WI,1675.0,Brown County
"Brule County, SD",13.799999999999999,5185,South Dakota,SD,376.0,Brule County
"Brunswick County, NC",156.3999999999999,136484,North Carolina,NC,2731.0,Brunswick County
"Brunswick County, VA",27.6,14299,Virginia,VA,3466.0,Brunswick County
"Bryan County, GA",36.800000000000004,38109,Georgia,GA,6746.0,Bryan County
"Bryan County, OK",55.20000000000001,46490,Oklahoma,OK,1418.0,Bryan County
"Buchanan County, IA",32.2,21145,Iowa,IA,1638.0,Buchanan County
"Buchanan County, MO",119.59999999999994,85443,Missouri,MO,2814.0,Buchanan County
"Buchanan County, VA",36.800000000000004,20321,Virginia,VA,3466.0,Buchanan County
"Buckingham County, VA",23.0,14917,Virginia,VA,3466.0,Buckingham County
"Bucks County, PA",662.4000000000018,625120,Pennsylvania,PA,8865.0,Bucks County
"Buena Vista County, IA",32.2,19223,Iowa,IA,1638.0,Buena Vista County
"Buena Vista city, VA",9.2,5820,Virginia,VA,3466.0,Buena Vista city
"Buffalo County, NE",55.20000000000001,47984,Nebraska,NE,636.0,Buffalo County
"Buffalo County, SD",9.2,2036,South Dakota,SD,376.0,Buffalo County
"Buffalo County, WI",27.6,13101,Wisconsin,WI,1675.0,Buffalo County
"Bullitt County, KY",87.39999999999998,80804,Kentucky,KY,1492.0,Bullitt County
"Bulloch County, GA",59.80000000000001,72125,Georgia,GA,6746.0,Bulloch County
"Bullock County, AL",18.4,8639,Alabama,AL,3770.0,Bullock County
"Buncombe County, NC",262.1999999999998,255419,North Carolina,NC,2731.0,Buncombe County
"Bureau County, IL",50.60000000000001,32971,Illinois,IL,8459.0,Bureau County
"Burke County, GA",32.2,22296,Georgia,GA,6746.0,Burke County
"Burke County, NC",87.39999999999998,88551,North Carolina,NC,2731.0,Burke County
"Burke County, ND",9.2,2100,North Dakota,ND,375.0,Burke County
"Burleigh County, ND",91.99999999999997,92564,North Dakota,ND,375.0,Burleigh County
"Burleson County, TX",27.6,18351,Texas,TX,17706.0,Burleson County
"Burlington County, NJ",529.0000000000011,437101,New Jersey,NJ,14511.0,Burlington County
"Burnet County, TX",41.400000000000006,46585,Texas,TX,17706.0,Burnet County
"Burnett County, WI",32.2,15332,Wisconsin,WI,1675.0,Burnett County
"Burt County, NE",18.4,6488,Nebraska,NE,636.0,Burt County
"Butler County, AL",46.00000000000001,19642,Alabama,AL,3770.0,Butler County
"Butler County, IA",27.6,14533,Iowa,IA,1638.0,Butler County
"Butler County, KS",64.4,65027,Kansas,KS,962.0,Butler County
"Butler County, KY",27.6,12683,Kentucky,KY,1492.0,Butler County
"Butler County, MO",50.60000000000001,42380,Missouri,MO,2814.0,Butler County
"Butler County, NE",18.4,8028,Nebraska,NE,636.0,Butler County
"Butler County, OH",372.60000000000036,373162,Ohio,OH,4890.0,Butler County
"Butler County, PA",206.99999999999983,184417,Pennsylvania,PA,8865.0,Butler County
"Butte County, CA",239.1999999999998,228315,California,CA,16663.0,Butte County
"Butte County, ID",9.2,2609,Idaho,ID,571.0,Butte County
"Butte County, SD",13.799999999999999,10222,South Dakota,SD,376.0,Butte County
"Butts County, GA",18.4,21683,Georgia,GA,6746.0,Butts County
"Cabarrus County, NC",174.79999999999987,210806,North Carolina,NC,2731.0,Cabarrus County
"Cabell County, WV",137.99999999999991,90549,West Virginia,WV,352.0,Cabell County
"Cache County, UT",124.19999999999993,123410,Utah,UT,582.0,Cache County
"Caddo County, OK",41.400000000000006,27205,Oklahoma,OK,1418.0,Caddo County
"Caddo Parish, LA",299.0,239634,Louisiana,LA,5194.0,Caddo Parish
"Calaveras County, CA",50.60000000000001,45318,California,CA,16663.0,Calaveras County
"Calcasieu Parish, LA",206.99999999999983,200868,Louisiana,LA,5194.0,Calcasieu Parish
"Caldwell County, KY",18.4,12684,Kentucky,KY,1492.0,Caldwell County
"Caldwell County, MO",13.799999999999999,8990,Missouri,MO,2814.0,Caldwell County
"Caldwell County, NC",82.79999999999998,81574,North Carolina,NC,2731.0,Caldwell County
"Caldwell County, TX",41.400000000000006,41935,Texas,TX,17706.0,Caldwell County
"Caldwell Parish, LA",18.4,9457,Louisiana,LA,5194.0,Caldwell Parish
"Caledonia County, VT",50.60000000000001,29384,Vermont,VT,62.0,Caledonia County
"Calhoun County, AL",147.1999999999999,112459,Alabama,AL,3770.0,Calhoun County
"Calhoun County, AR",13.799999999999999,5102,Arkansas,AR,1622.0,Calhoun County
"Calhoun County, FL",18.4,12926,Florida,FL,16059.0,Calhoun County
"Calhoun County, GA",13.799999999999999,4705,Georgia,GA,6746.0,Calhoun County
"Calhoun County, IA",23.0,9193,Iowa,IA,1638.0,Calhoun County
"Calhoun County, IL",13.799999999999999,4800,Illinois,IL,8459.0,Calhoun County
"Calhoun County, MI",183.99999999999986,132313,Michigan,MI,6581.0,Calhoun County
"Calhoun County, MS",27.6,14411,Mississippi,MS,3124.0,Calhoun County
"Calhoun County, SC",18.4,14520,South Carolina,SC,3620.0,Calhoun County
"Calhoun County, TX",32.2,21513,Texas,TX,17706.0,Calhoun County
"Calhoun County, WV",13.799999999999999,7254,West Virginia,WV,352.0,Calhoun County
"Callahan County, TX",18.4,13989,Texas,TX,17706.0,Callahan County
"Callaway County, MO",41.400000000000006,42063,Missouri,MO,2814.0,Callaway County
